Equation,Steps,Solution
2(x^2) + -1x + 3 = 0,"Given equation: 2(x^2) + -1x + 3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*2*3 = -23
Since the discriminant is negative, the equation has complex roots.","[1/4 - sqrt(23)*I/4, 1/4 + sqrt(23)*I/4]"
1(x^2) + -2x + -3 = 0,"Given equation: 1(x^2) + -2x + -3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*1*-3 = 16
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 3","[-1, 3]"
-2(x^2) + -5x + 5 = 0,"Given equation: -2(x^2) + -5x + 5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*5 = 65
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/4 + sqrt(65)/4 and x = -sqrt(65)/4 - 5/4","[-5/4 + sqrt(65)/4, -sqrt(65)/4 - 5/4]"
-5(x^2) + -1x + -1 = 0,"Given equation: -5(x^2) + -1x + -1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-5*-1 = -19
Since the discriminant is negative, the equation has complex roots.","[-1/10 - sqrt(19)*I/10, -1/10 + sqrt(19)*I/10]"
4(x^2) + -4x + -3 = 0,"Given equation: 4(x^2) + -4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*-3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 and x = 3/2","[-1/2, 3/2]"
3(x^2) + -4x + -3 = 0,"Given equation: 3(x^2) + -4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*-3 = 52
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2/3 - sqrt(13)/3 and x = 2/3 + sqrt(13)/3","[2/3 - sqrt(13)/3, 2/3 + sqrt(13)/3]"
3(x^2) + 4x + 5 = 0,"Given equation: 3(x^2) + 4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*5 = -44
Since the discriminant is negative, the equation has complex roots.","[-2/3 - sqrt(11)*I/3, -2/3 + sqrt(11)*I/3]"
5(x^2) + -4x + -2 = 0,"Given equation: 5(x^2) + -4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*5*-2 = 56
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2/5 - sqrt(14)/5 and x = 2/5 + sqrt(14)/5","[2/5 - sqrt(14)/5, 2/5 + sqrt(14)/5]"
4(x^2) + -4x + -5 = 0,"Given equation: 4(x^2) + -4x + -5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*-5 = 96
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(6)/2 and x = 1/2 + sqrt(6)/2","[1/2 - sqrt(6)/2, 1/2 + sqrt(6)/2]"
-3(x^2) + 1x + 1 = 0,"Given equation: -3(x^2) + 1x + 1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-3*1 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/6 - sqrt(13)/6 and x = 1/6 + sqrt(13)/6","[1/6 - sqrt(13)/6, 1/6 + sqrt(13)/6]"
-1(x^2) + -3x + -3 = 0,"Given equation: -1(x^2) + -3x + -3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-1*-3 = -3
Since the discriminant is negative, the equation has complex roots.","[-3/2 - sqrt(3)*I/2, -3/2 + sqrt(3)*I/2]"
3(x^2) + -5x + 4 = 0,"Given equation: 3(x^2) + -5x + 4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*3*4 = -23
Since the discriminant is negative, the equation has complex roots.","[5/6 - sqrt(23)*I/6, 5/6 + sqrt(23)*I/6]"
2(x^2) + 5x + 5 = 0,"Given equation: 2(x^2) + 5x + 5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*2*5 = -15
Since the discriminant is negative, the equation has complex roots.","[-5/4 - sqrt(15)*I/4, -5/4 + sqrt(15)*I/4]"
-5(x^2) + 2x + -2 = 0,"Given equation: -5(x^2) + 2x + -2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-5*-2 = -36
Since the discriminant is negative, the equation has complex roots.","[1/5 - 3*I/5, 1/5 + 3*I/5]"
-4(x^2) + -1x + 4 = 0,"Given equation: -4(x^2) + -1x + 4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-4*4 = 65
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/8 + sqrt(65)/8 and x = -sqrt(65)/8 - 1/8","[-1/8 + sqrt(65)/8, -sqrt(65)/8 - 1/8]"
