Question,Step 1,Step 2,Step 3,Step 4,Answer
"What is 2 + 2?",,,,,"4"
"What is the capital of France?",,,,,"Paris"
"Who wrote the play 'Romeo and Juliet'?",,,,,"William Shakespeare"
"2x + 5 = 15","Step 1: Subtract 5 from both sides","Step 2: Divide both sides by 2",,,"x = 5"
"x^2 + 5x + 6 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -2 or x = -3"
"3x - 2 = 10","Step 1: Add 2 to both sides","Step 2: Divide both sides by 3",,,"x = 4"
"Solve for x: 4x - 8 = 20","Step 1: Add 8 to both sides","Step 2: Divide both sides by 4",,,"x = 7"
"Solve for x: 3x + 10 = 25","Step 1: Subtract 10 from both sides","Step 2: Divide both sides by 3",,,"x = 5"
"2(x + 3) = 16","Step 1: Divide both sides by 2","Step 2: Subtract 3 from both sides",,,"x = 5"
"3(x - 4) = 27","Step 1: Divide both sides by 3","Step 2: Add 4 to both sides",,,"x = 11"
"2(x - 5) + 8 = 12","Step 1: Distribute 2 on the left side","Step 2: Subtract 8 from both sides","Step 3: Divide both sides by 2",,"x = 9"
"3(2x + 1) = 21","Step 1: Divide both sides by 3","Step 2: Subtract 1 from both sides","Step 3: Divide both sides by 2",,"x = 3"
"5x - 7 = 8x + 3","Step 1: Subtract 5x from both sides","Step 2: Subtract 3 from both sides","Step 3: Divide both sides by 3",,"x = 5"
"2x - 4 = 3x + 1","Step 1: Add 4 to both sides","Step 2: Subtract 2x from both sides","Step 3: Divide both sides by 1",,"x = 5"
"x^2 - 9x + 20 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 4 or x = 5"
"2x^2 + 7x + 3 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1 or x = -3/2"
"x^2 + 4x - 5 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 1 or x = -5"
"4x^2 - 4x + 1 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 1/2"
"2x^2 + 5x + 2 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1 or x = -2"
"3x^2 - 9x + 6 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 1 or x = 2"
"5x^2 - 12x + 6 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 2 or x = 1.2"
"2x^2 - 7x + 3 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 3 or x = 1/2"
"3x^2 + 2x - 8 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -2 or x = 4/3"
"4x^2 + 4x - 3 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1 or x = 3/2"
"5x^2 + 6x - 8 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 1 or x = -8/5"
"6x^2 - 11x + 3 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 3 or x = 1/2"
"7x^2 + 3x - 4 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1 or x = 4/7"
"8x^2 - 4x + 1 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"No real solutions"
"9x^2 + 6x + 1 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1/3"
"10x^2 - 12x + 3 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 1 or x = 1/3"
"11x^2 + 5x - 6 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1 or x = 6/11"
"12x^2 - 8x + 1 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 1 or x = 1/6"
"13x^2 + 2x - 3 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1 or x = 3/13"
"14x^2 - 10x + 2 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = 1 or x = 1/7"
"15x^2 + 3x - 1 = 0","Step 1: Find the factors of the quadratic equation","Step 2: Set each factor equal to zero","Step 3: Solve for x",,"x = -1 or x = 1/15"
